sum.taxonomy	K0526_B2	K0526_C3	K0526_G5	K0527_A1	K0527_B2	K0527_C3	K0527_E4	K0527_K6	K0527_L7	K0527_T9	K0528_A1	K0528_E4	K0528_G5	K0528_K6	K0528_L7	K0528_T9	K0529_A1	K0529_B2	K0529_C3	K0529_G5	K0529_K6	K0529_L7	K0529_M8	K0529_T9	K0530_A1	K0530_B2	K0530_C3	K0530_E4	K0530_K6	K0530_L7	K0530_M8	K0539_L7	K0585_T9	K0593_A1	K0593_C3	K0593_E4	K0593_G5	K0593_L7	K0593_T9	K0594_A1	K0594_E4	K0594_L7	K0594_T9	K0595_A1	K0595_B2	K0595_G5	K0595_L7	K0595_M8	K0595_T9	K0596_B2	K0596_C3	K0596_E4	K0596_G5	K0596_L7	K0596_T9	K0597_E4	K0597_K6	K0597_L7	K0597_M8	K0597_T9	K0599_A1	K0599_E4	K0599_G5	K0599_K6	K0599_L7	K0599_M8	K0599_T9	K0672_A1	K0672_B2	K0672_C3	K0672_G5	K0672_T9	K0673_A1	K0673_G5	K0674_E4	K0674_G5	K0674_M8	K0676_B2	K0676_M8	K0676_T9	K0677_A1	K0677_B2	K0677_E4	K0677_L7	K0678_B2	K0678_E4	K0678_K6	K0678_L7	K0679_B2	K0679_M8	K0701_C3	K0593_K6	K0593_M8	K0595_K6	K0596_K6	K0597_C3	POUR_1	POUR_12	POUR_13	POUR_14	POUR_145	POUR_146	POUR_16	POUR_17	POUR_18	POUR_19	POUR_2	POUR_20	POUR_21	POUR_22	POUR_23	POUR_24	POUR_25	POUR_26	POUR_27	POUR_28	POUR_29	POUR_3	POUR_30	POUR_31	POUR_32	POUR_33	POUR_34	POUR_35	POUR_36	POUR_37	POUR_38	POUR_39	POUR_4	POUR_40	POUR_41	POUR_42	POUR_43	POUR_44	POUR_45	POUR_46	POUR_48	POUR_49	POUR_5	POUR_6	POUR_7	POUR_8	POUR_9
Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium sphaerospermum	0	397	267	12	0	0	0	13	0	0	13	0	67	0	361	534	54	480	8	0	100	1095	109	0	0	40	27	0	112	74	126	15	41	0	246	0	36	2076	27	0	45	18	0	185	50	48	53	0	250	0	78	42	0	53	17	0	164	21	787	0	13	14	0	0	65	0	114	55	144	28	89	45	45	0	585	17	148	0	0	0	0	62	24	79	759	485	1004	0	46	190	88	23	0	137	25	90	43	0	45	1114	586	31	92	159	10	433	15	56	29	0	72	28	137	20	90	0	0	0	102	104	45	455	51	44	39	280	25	0	22	1	18	357	0	120	28	0	172	56	0	926	0	175	24
Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium velox	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;unknown	39	567	725	6	13	0	29	1	33	194	1399	125	144	60	1933	924	4590	651	45	33	1250	6650	229	199	404	420	235	213	1308	10720	3537	43	309	79	1969	58	668	5666	73	254	1570	39	726	1342	489	561	555	46	2039	67	68	131	42	114	29	45	263	22	2522	77	123	57	493	370	1262	0	8127	336	235	74	1103	1330	314	6	2338	119	680	17	74	93	29	463	140	247	696	341	1836	16	928	378	396	625	12	1313	47	835	430	1666	1237	31033	2796	1829	6000	8289	155	2276	960	203	294	1696	336	1829	922	359	247	0	0	24	2600	938	170	4249	264	503	59	5681	1914	804	308	370	1557	2041	874	6756	873	69	2187	2996	2038	470	0	2059	933
Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Toxicocladosporium;Toxicocladosporium strelitziae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	36	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	472	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Toxicocladosporium;unknown	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	32	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	32	0	18	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	59	0	0	0	0	0	0	13	0	0	0	0	0	3037	15	0	0	0	0	0	1	41	0
Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;unknown;unknown	0	3	0	0	0	0	0	0	0	15	0	0	0	0	45	12	0	65	0	0	0	16	2	0	0	0	32	0	37	0	0	0	0	0	8	0	0	2	0	0	0	0	1	15	0	0	0	0	24	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	108	0	60	0	19	8	0	0	19	0	4	0	0	0	0	0	0	0	0	6	58	0	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Mycosphaerella;unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	7	0	0	0	0	19	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	484	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	348	210	0	0	252
Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Ramularia;Ramularia glennii	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Ramularia;Ramularia hydrangeae-macrophyllae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	327	0	0	0	0	0	0	26	32	18	0	0	0	0	0	0	0	0
Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Septoria;unknown	0	6	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	158	0	0	0	0	19	18	10	18	0	0	0	0	9	9	0	0	0	0	0	7	0	9	0	3	0	0	0	0	0	30	0	0	0	149	0	0	0	0	0	0	0	0
