sum.taxonomy	K0526_B2	K0526_C3	K0526_G5	K0527_A1	K0527_B2	K0527_C3	K0527_E4	K0527_K6	K0527_L7	K0527_T9	K0528_A1	K0528_E4	K0528_G5	K0528_K6	K0528_L7	K0528_T9	K0529_A1	K0529_B2	K0529_C3	K0529_G5	K0529_K6	K0529_L7	K0529_M8	K0529_T9	K0530_A1	K0530_B2	K0530_C3	K0530_E4	K0530_K6	K0530_L7	K0530_M8	K0539_L7	K0585_T9	K0593_A1	K0593_C3	K0593_E4	K0593_G5	K0593_L7	K0593_T9	K0594_A1	K0594_E4	K0594_L7	K0594_T9	K0595_A1	K0595_B2	K0595_G5	K0595_L7	K0595_M8	K0595_T9	K0596_B2	K0596_C3	K0596_E4	K0596_G5	K0596_L7	K0596_T9	K0597_E4	K0597_K6	K0597_L7	K0597_M8	K0597_T9	K0599_A1	K0599_E4	K0599_G5	K0599_K6	K0599_L7	K0599_M8	K0599_T9	K0672_A1	K0672_B2	K0672_C3	K0672_G5	K0672_T9	K0673_A1	K0673_G5	K0674_E4	K0674_G5	K0674_M8	K0676_B2	K0676_M8	K0676_T9	K0677_A1	K0677_B2	K0677_E4	K0677_L7	K0678_B2	K0678_E4	K0678_K6	K0678_L7	K0679_B2	K0679_M8	K0701_C3	K0593_K6	K0593_M8	K0595_K6	K0596_K6	K0597_C3	POUR_1	POUR_12	POUR_13	POUR_14	POUR_145	POUR_146	POUR_16	POUR_17	POUR_18	POUR_19	POUR_2	POUR_20	POUR_21	POUR_22	POUR_23	POUR_24	POUR_25	POUR_26	POUR_27	POUR_28	POUR_29	POUR_3	POUR_30	POUR_31	POUR_32	POUR_33	POUR_34	POUR_35	POUR_36	POUR_37	POUR_38	POUR_39	POUR_4	POUR_40	POUR_41	POUR_42	POUR_43	POUR_44	POUR_45	POUR_46	POUR_48	POUR_49	POUR_5	POUR_6	POUR_7	POUR_8	POUR_9
Chordata;Actinopteri;Cypriniformes;Cyprinidae;unknown;unknown	0	12	0	0	0	102	0	0	0	0	51	0	8	130	80	60	8	41	0	1	0	0	87	1712	0	0	194	0	855	711	0	0	0	220	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	13	0	0	121	161	41	32	0	0	0	5009	0	1	0	5784	0	0	0	0	34	6	1	0	0	454	0	0	0	61	0	0	2083	2961	0	3724	10	0	1679	137	0	0	56	1676	112	0	0	0	0	2	1331	0	0	0	0	12	47	0	1928	835	5570	2609	30	3	0	0	1	0	81	49	1351	367	0	0	131	0	0	1069	2
Chordata;Actinopteri;Cyprinodontiformes;Poeciliidae;Gambusia;unknown	213	0	0	0	0	1	0	0	0	0	0	0	45	0	540	291	8	0	0	0	0	0	0	0	0	0	356	0	319	171	6221	0	0	304	0	0	3091	0	0	3852	0	0	3985	0	0	0	0	0	0	13	1	0	0	0	0	51	0	0	0	2244	109	153	42	1185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	3622	0	0	2725	1855	0	0	0	20	4	0	0	260	0	0	0	0	0	0	0	0	0	0	0	18	68	21768	0	0	0	0	12	7	487	100	704	0	0	0	0	0	0	0	0
Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	899	0	0	0	0	0	0	0	0	92	0	16	0	0	149	1412	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	106	0	1830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1060	0	0	0	79
Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;unknown	25	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	431	0	0	0	0	0	0	0	0	0	0	50	0	0	3575	0	148	0	0	0	0	0	0	0	0	7	0	40	0	0	0	12142	146	0	0	0	0	166	0	210	74	48	0	32	191	0	9	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	545	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo salar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chordata;Actinopteri;Siluriformes;unknown;unknown;unknown	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	53	3	941	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957	0	0	0	0	0	0	0	102	5044	0	0	0	0	0	0	0	0	0	23	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	104	0	62	16	0	0	1	0	0	62	497	0	0	0	0	0	0	3	0
Chordata;Actinopteri;unknown;Embiotocidae;unknown;unknown	383	0	0	0	0	0	0	0	0	2244	0	0	0	0	5	0	0	0	0	0	0	96	0	0	0	585	0	0	462	0	1626	25	0	113	1525	0	0	0	0	7	0	0	0	0	10	0	0	0	121	28	0	0	0	0	0	19	0	0	393	349	0	0	0	0	1135	4	0	0	0	3	28	0	0	0	81	0	29	0	0	0	0	0	0	0	0	0	0	0	216	94	0	0	59	0	0	0	0	0	345	0	761	150	0	0	102	158	35	86	404	0	39	402	185	366	0	0	0	99	998	0	8	0	2974	0	0	0	67	163	58	187	127	0	0	0	0	0	0	0	0	213	646	0	207
Chordata;Actinopteri;unknown;unknown;unknown;unknown	3	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	1	0	63	0	0	0	0	2	0	6	0	0	0	6	0	104	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	133	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	66	672	31	0	0	0	5	0	0	30660	0	0	0	0	0	0	10	6	0	6	7	0	3	0	2	2	0	3	0	92	5	1	6	0	0	0	1	614	424	0	286	23	0	0	6	0	1	1	17	21	0	5	11	42	0	0	0	950	10282	1	0	15
Chordata;Amphibia;Anura;Bufonidae;unknown;unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0
